id_registro,id_municipio,rede_geral,poco_ou_nascente,poço_ou_nascente_fora_da_propriedade,carro-pipa,agua_da_chuva_em_cisterna,agua_da_chuva_outra_forma,rio_acude_lago_igarapé,poço_ou_nascente_na_aldeia,poco_ou_nascente_fora_da_aldeia,outro
1,1,5572.0,16825.0,1304.0,,,,88.0,250.0,,15.0
2,2,872.0,11081.0,613.0,26.0,,,152.0,,,14.0
3,3,1016.0,15280.0,764.0,,,,31.0,,,7.0
4,4,7161.0,8568.0,857.0,,1.0,,72.0,,,18.0
5,5,31012.0,57389.0,1008.0,,,4.0,117.0,,,105.0
6,6,103.0,29199.0,2775.0,1.0,,,120.0,,,8.0
7,7,1495.0,4533.0,211.0,,,,41.0,,,18.0
8,8,492.0,4869.0,299.0,,1.0,,39.0,,,19.0
9,9,58642.0,18153.0,1240.0,13.0,4.0,,149.0,,,81.0
10,10,2659.0,8925.0,351.0,,,,589.0,,,88.0
11,11,11565.0,7423.0,352.0,,,,282.0,,,76.0
12,12,876.0,2499.0,124.0,,,,44.0,,,3.0
13,13,5496.0,11219.0,204.0,2.0,,,10.0,,,3.0
14,14,5000.0,1811.0,523.0,,,,686.0,,,13.0
15,15,11078.0,6602.0,731.0,2.0,,2.0,73.0,,,36.0
16,16,1066.0,6987.0,449.0,,,,113.0,,,11.0
17,17,2118.0,10913.0,338.0,,,,79.0,,,18.0
18,18,1559.0,13335.0,692.0,,,,135.0,,,23.0
19,19,7570.0,19336.0,1559.0,,,4.0,6.0,,,63.0
20,20,36.0,9931.0,494.0,,,,8.0,,,11.0
21,21,16931.0,19907.0,1800.0,2.0,,,1237.0,6.0,,129.0
22,22,2534.0,5476.0,373.0,,,,74.0,,,16.0
23,23,12118.0,38099.0,1211.0,,,,99.0,28.0,,184.0
24,24,52200.0,60620.0,2751.0,6.0,8.0,,50.0,,,105.0
25,25,9413.0,19880.0,1145.0,3.0,,3.0,524.0,,,28.0
26,26,1941.0,7595.0,759.0,,,,46.0,,,1.0
27,27,1608.0,9817.0,299.0,,,,32.0,114.0,,4.0
28,28,3823.0,9990.0,142.0,,,,41.0,,,12.0
29,29,5254.0,13198.0,1030.0,,,,108.0,,,55.0
30,30,1406.0,19782.0,823.0,,,,254.0,,,41.0
31,31,620.0,6171.0,669.0,,,,22.0,,,1.0
32,32,1341.0,8115.0,573.0,,,,23.0,,,147.0
33,33,17038.0,19822.0,544.0,9.0,,4.0,246.0,,,22.0
34,34,1260.0,2905.0,479.0,,,,111.0,,,3.0
35,35,23431.0,9187.0,827.0,,,,75.0,,,34.0
36,36,1094.0,1129.0,20.0,,,,25.0,,,9.0
37,37,158410.0,232222.0,21449.0,263.0,25.0,22.0,5753.0,447.0,,1318.0
38,38,7270.0,13754.0,1063.0,4.0,,,79.0,,,29.0
39,39,1730.0,1623.0,141.0,,,,2.0,,,1.0
40,40,254.0,2960.0,55.0,,,,16.0,,,
41,41,24606.0,24350.0,953.0,,,,235.0,,,86.0
42,42,1526.0,6673.0,479.0,,,,28.0,,,130.0
43,43,1213.0,4343.0,419.0,,,,19.0,,,1.0
44,44,4.0,15286.0,297.0,,,,184.0,201.0,,4.0
45,45,1449.0,19702.0,409.0,,,,70.0,69.0,,
46,46,1009.0,10205.0,241.0,,,,1.0,,,19.0
47,47,458.0,4167.0,219.0,,,,5.0,,,
48,48,969.0,8973.0,347.0,,,,10.0,,,17.0
49,49,1868.0,10169.0,532.0,,4.0,,321.0,,,17.0
50,50,1216.0,7681.0,320.0,,,10.0,130.0,,,13.0
51,51,407.0,7493.0,275.0,,,,6.0,,,1.0
52,52,71386.0,2750.0,741.0,207.0,3.0,1.0,297.0,53.0,,34.0
53,53,3535.0,8211.0,610.0,,3.0,1.0,97.0,,,32.0
54,54,2832.0,2003.0,596.0,,,,371.0,167.0,,48.0
55,55,11230.0,8169.0,708.0,32.0,,,949.0,,,187.0
56,56,3348.0,3545.0,383.0,3.0,,,1121.0,,,20.0
57,57,3398.0,4136.0,463.0,6.0,,1.0,755.0,,,3.0
58,58,38778.0,21963.0,6388.0,71.0,54.0,145.0,8012.0,464.0,,2081.0
59,59,8867.0,4453.0,545.0,195.0,,,839.0,,,106.0
60,60,4124.0,17932.0,3828.0,7.0,,21.0,4916.0,882.0,,541.0
61,61,2167.0,682.0,28.0,,1.0,,3667.0,,,10.0
62,62,7927.0,3998.0,616.0,,,3.0,2345.0,26.0,,213.0
63,63,4425.0,1801.0,485.0,11.0,5.0,,720.0,400.0,,94.0
64,64,2962.0,3844.0,962.0,,21.0,32.0,5806.0,55.0,,488.0
65,65,5833.0,9817.0,861.0,128.0,7.0,7.0,350.0,,,129.0
66,66,3545.0,8975.0,1207.0,,8.0,1.0,1044.0,,,62.0
67,67,3348.0,427.0,125.0,,,29.0,4784.0,25.0,,350.0
68,68,175795.0,137677.0,9232.0,3363.0,114.0,82.0,4581.0,,,2397.0
69,69,5944.0,4201.0,1155.0,,,14.0,2341.0,,,688.0
70,70,1745.0,868.0,104.0,,2.0,3.0,442.0,1486.0,,26.0
71,71,14102.0,16942.0,2103.0,534.0,,26.0,3101.0,305.0,71.0,650.0
72,72,6646.0,11926.0,972.0,27.0,,6.0,348.0,,,129.0
73,73,14139.0,5789.0,2234.0,49.0,9.0,111.0,12058.0,133.0,128.0,747.0
74,74,7905.0,5751.0,419.0,9.0,,21.0,1826.0,,,103.0
75,75,6840.0,122.0,4419.0,,4.0,30.0,2214.0,99.0,,315.0
76,76,5987.0,38.0,22.0,6.0,698.0,231.0,2196.0,8.0,,181.0
77,77,5092.0,591.0,614.0,,29.0,78.0,3742.0,,,28.0
78,78,9701.0,250.0,5.0,,89.0,334.0,5663.0,5.0,,205.0
79,79,2111.0,13315.0,969.0,55.0,,18.0,1275.0,,,155.0
80,80,5623.0,63.0,11.0,,96.0,804.0,8216.0,187.0,,71.0
81,81,6467.0,11502.0,3783.0,,8.0,57.0,9779.0,,5.0,350.0
