id_registro,id_municipio,casos
1,1,10
2,2,5
3,3,6
4,4,5
5,5,33
6,6,82
7,7,5
8,9,23
9,10,10
10,11,11
11,12,1
12,13,242
13,15,2
14,16,1
15,17,1
16,18,35
17,19,85
18,20,4
19,21,16
20,22,5
21,23,16
22,24,39
23,25,88
24,26,5
25,27,7
26,28,10
27,29,70
28,30,1
29,32,4
30,33,28
31,34,11
32,35,4
33,36,1
34,37,277
35,38,14
36,40,1
37,41,80
38,42,2
39,43,13
40,44,4
41,45,4
42,47,1
43,49,12
44,51,35
45,52,15
46,53,136
47,54,1
48,55,62
49,57,10
50,58,512
51,59,2
52,62,4
53,63,1
54,65,14
55,68,20
56,69,12
57,72,3
58,75,1
59,82,2
60,84,5
61,85,2
62,86,6
63,88,2
64,91,22
65,94,209
66,95,33
67,99,59
68,100,47
69,102,4
70,103,18
71,104,1
72,105,1
73,106,1
74,109,5
75,110,14
76,112,319
77,114,1
78,115,38
79,117,3
80,118,5
81,119,21
82,120,20
83,126,59
84,130,30
85,131,9
86,132,300
87,137,1
88,139,126
89,140,4
90,141,4
91,142,7
92,143,2
93,144,1
94,148,4
95,149,1
96,150,1
97,152,133
98,153,6
99,155,2
100,156,1
101,157,41
102,158,3
103,159,7
104,161,3
105,162,402
106,163,1
107,164,1
108,168,7
109,169,11
110,170,44
111,172,1
112,173,1
113,174,1
114,175,2
115,176,1
116,177,1
117,178,1
118,179,3
119,183,1
120,184,21
121,186,52
122,187,15
123,188,2
124,189,1
125,190,4
126,191,1
127,192,9
128,193,2
129,195,1
130,197,3
131,198,2
132,200,1
133,201,2
134,203,4
135,207,2
136,208,2
137,209,29
138,210,3
139,212,94
140,213,1
141,214,13
142,217,228
143,218,1
144,220,1
145,221,1
146,225,3
147,227,60
148,228,2
149,230,62
150,231,143
151,232,2
152,233,3
153,234,27
154,236,67
155,237,272
156,238,56
157,239,38
158,240,1042
159,241,7
160,244,1
161,249,5
162,251,88
163,252,26
164,253,40
165,255,1
166,263,19
167,264,2
168,266,2
169,267,3
170,270,46
171,271,2
172,272,215
173,274,8
174,278,1
175,279,7
176,280,15
177,281,4
178,284,1
179,285,1
180,286,1
181,287,3
182,288,144
183,289,1
184,291,82
185,293,8
186,294,845
187,295,1
188,296,11
189,297,2
190,298,35
191,300,26
192,301,324
193,302,5
194,303,224
195,304,41
196,305,24
197,307,68
198,308,36
199,309,21
200,312,45
201,313,6
202,316,4
203,317,2
204,318,12
205,319,1
206,322,1325
207,323,4
208,324,28
209,326,40
210,327,20
211,328,55
212,329,4
213,330,3
214,331,1
215,332,2
216,334,1
217,335,4
218,337,3
219,338,7
220,339,2
221,341,6
222,342,5
223,348,3
224,349,2
225,350,33
226,351,24
227,352,3
228,353,2
229,354,1
230,355,1
231,356,56
232,357,14
233,358,6
234,359,10
235,360,15
236,364,6
237,365,3
238,367,1
239,368,5
240,369,94
241,372,1
242,374,2
243,375,2
244,377,4
245,379,8
246,380,6
247,381,1
248,384,1
249,386,12
250,387,33
251,390,1
252,391,1
253,392,1
254,393,49
255,395,6
256,396,17
257,397,2
258,399,712
259,400,2
260,401,3
261,402,2
262,403,4
263,404,6
264,405,1
265,406,13
266,407,2
267,408,3
268,409,3
269,410,1
270,411,11
271,412,5
272,413,1
273,414,1
274,415,43
275,416,1
276,417,27
277,421,39
278,422,8
279,423,1
280,424,10
281,426,2
282,427,6
283,430,1
284,431,7
285,434,12
286,436,1
287,437,8
288,438,6
289,441,2
290,443,2
291,444,7
292,445,123
293,448,3
294,449,2
295,450,2
296,451,1
297,453,2
298,454,10
299,457,6
300,458,25
301,460,84
302,462,19
303,468,1
304,469,35
305,470,1
306,473,637
307,474,7
308,475,164
309,483,17
310,485,2
311,486,12
312,487,1
