id_registro,id_municipio,rede_geral,fossa_septica,fossa_rudimendar,vala,Rio_lago_mar,outros,nao_possui
1,1,60.0,563.0,21445.0,346.0,102.0,747.0,791.0
2,2,27.0,47.0,10910.0,485.0,31.0,682.0,576.0
3,3,30.0,1870.0,14296.0,25.0,4.0,366.0,507.0
4,4,4868.0,1054.0,9936.0,300.0,3.0,327.0,189.0
5,5,1007.0,6695.0,80527.0,241.0,119.0,586.0,460.0
6,6,24.0,546.0,29438.0,467.0,177.0,710.0,844.0
7,7,6.0,1388.0,4778.0,16.0,4.0,56.0,50.0
8,8,4.0,1241.0,4241.0,27.0,14.0,14.0,178.0
9,9,29822.0,11246.0,34797.0,1002.0,326.0,465.0,624.0
10,10,18.0,2509.0,8618.0,176.0,13.0,628.0,650.0
11,11,758.0,1124.0,15983.0,486.0,6.0,867.0,474.0
12,12,,51.0,3246.0,15.0,,153.0,81.0
13,13,16.0,2877.0,13886.0,31.0,,48.0,76.0
14,14,45.0,171.0,7077.0,496.0,38.0,121.0,85.0
15,15,81.0,884.0,16673.0,301.0,215.0,225.0,145.0
16,16,22.0,951.0,7309.0,92.0,,59.0,193.0
17,17,14.0,1088.0,9154.0,849.0,,2097.0,264.0
18,18,15.0,1139.0,13684.0,120.0,,36.0,750.0
19,19,93.0,3803.0,21510.0,1306.0,853.0,709.0,264.0
20,20,25.0,3090.0,6160.0,242.0,14.0,377.0,572.0
21,21,2969.0,5222.0,22556.0,2693.0,111.0,5409.0,1052.0
22,22,160.0,122.0,7449.0,94.0,,371.0,277.0
23,23,408.0,1275.0,46639.0,687.0,775.0,1480.0,475.0
24,24,3834.0,19563.0,86683.0,1651.0,2532.0,887.0,590.0
25,25,42.0,596.0,28194.0,395.0,6.0,373.0,1390.0
26,26,269.0,251.0,9209.0,317.0,7.0,132.0,157.0
27,27,,224.0,10785.0,175.0,6.0,470.0,214.0
28,28,13.0,157.0,12766.0,318.0,2.0,13.0,739.0
29,29,27.0,710.0,17831.0,168.0,6.0,388.0,515.0
30,30,14.0,1803.0,17413.0,879.0,8.0,1299.0,890.0
31,31,,84.0,6729.0,246.0,6.0,194.0,224.0
32,32,388.0,574.0,8740.0,248.0,12.0,150.0,87.0
33,33,367.0,3381.0,31516.0,396.0,1256.0,533.0,236.0
34,34,,30.0,3951.0,115.0,,357.0,305.0
35,35,2568.0,10160.0,19291.0,1118.0,71.0,196.0,150.0
36,36,,422.0,1656.0,123.0,,40.0,36.0
37,37,39748.0,140036.0,214491.0,10337.0,4448.0,6823.0,4026.0
38,38,170.0,205.0,20999.0,218.0,7.0,381.0,219.0
39,39,1.0,64.0,3097.0,56.0,6.0,234.0,39.0
40,40,,753.0,2417.0,14.0,19.0,7.0,75.0
41,41,291.0,7058.0,39938.0,360.0,985.0,1344.0,254.0
42,42,100.0,77.0,8173.0,90.0,11.0,201.0,184.0
43,43,15.0,954.0,4672.0,17.0,6.0,277.0,54.0
44,44,,638.0,14106.0,106.0,,891.0,235.0
45,45,49.0,2194.0,17524.0,157.0,1.0,1350.0,424.0
46,46,20.0,2194.0,7895.0,230.0,6.0,926.0,204.0
47,47,6.0,102.0,4485.0,88.0,12.0,59.0,97.0
48,48,43.0,1068.0,8476.0,43.0,,437.0,249.0
49,49,7.0,1512.0,10515.0,84.0,20.0,390.0,383.0
50,50,,61.0,8683.0,25.0,5.0,315.0,281.0
51,51,,23.0,7355.0,143.0,8.0,500.0,153.0
52,52,842.0,9159.0,64748.0,306.0,3.0,220.0,194.0
53,53,47.0,1312.0,7095.0,1187.0,11.0,1858.0,979.0
54,54,112.0,1277.0,2258.0,757.0,49.0,490.0,1074.0
55,55,3317.0,2723.0,5558.0,3946.0,1122.0,1878.0,2731.0
56,56,70.0,1523.0,3434.0,515.0,20.0,1260.0,1598.0
57,57,82.0,2828.0,1472.0,656.0,12.0,2506.0,1206.0
58,58,3062.0,6840.0,32928.0,14701.0,1308.0,10991.0,8126.0
59,59,485.0,2725.0,5787.0,1417.0,166.0,3417.0,1008.0
60,60,782.0,2208.0,7128.0,4905.0,1226.0,5764.0,10238.0
61,61,22.0,259.0,1344.0,2094.0,38.0,1538.0,1260.0
62,62,36.0,1169.0,8633.0,2704.0,109.0,1381.0,1096.0
63,63,339.0,676.0,2444.0,1366.0,47.0,583.0,2486.0
64,64,101.0,942.0,1787.0,2196.0,25.0,3084.0,6035.0
65,65,645.0,1805.0,9527.0,425.0,57.0,3337.0,1336.0
66,66,21.0,1688.0,6074.0,1938.0,1236.0,2667.0,1218.0
67,67,5.0,34.0,3576.0,948.0,8.0,877.0,3640.0
68,68,146065.0,42734.0,67701.0,46811.0,8607.0,13858.0,7465.0
69,69,2.0,1166.0,3783.0,4401.0,160.0,1228.0,3603.0
70,70,2.0,113.0,993.0,1675.0,105.0,577.0,1211.0
71,71,1485.0,3226.0,11263.0,3097.0,1154.0,13519.0,4090.0
72,72,106.0,4391.0,10185.0,2365.0,57.0,1746.0,1204.0
73,73,323.0,2965.0,6372.0,5163.0,693.0,10959.0,8922.0
74,74,2551.0,1896.0,2341.0,2549.0,1124.0,2662.0,2911.0
75,75,986.0,3355.0,6302.0,1728.0,479.0,926.0,267.0
76,76,148.0,408.0,2752.0,1883.0,231.0,1438.0,2507.0
77,77,361.0,74.0,4861.0,1976.0,1047.0,1550.0,305.0
78,78,180.0,142.0,11028.0,877.0,742.0,839.0,2444.0
79,79,10.0,1731.0,13618.0,1162.0,21.0,988.0,368.0
