id_municipio,municipio,UF
1,110001 Alta Floresta D'Oeste,RO
2,110037 Alto Alegre dos Parecis,RO
3,110040 Alto Paraíso,RO
4,110034 Alvorada D'Oeste,RO
5,110002 Ariquemes,RO
6,110045 Buritis,RO
7,110003 Cabixi,RO
8,110060 Cacaulândia,RO
9,110004 Cacoal,RO
10,110070 Campo Novo de Rondônia,RO
11,110080 Candeias do Jamari,RO
12,110090 Castanheiras,RO
13,110005 Cerejeiras,RO
14,110092 Chupinguaia,RO
15,110006 Colorado do Oeste,RO
16,110007 Corumbiara,RO
17,110008 Costa Marques,RO
18,110094 Cujubim,RO
19,110009 Espigão D'Oeste,RO
20,110100 Governador Jorge Teixeira,RO
21,110010 Guajará-Mirim,RO
22,110110 Itapuã do Oeste,RO
23,110011 Jaru,RO
24,110012 Ji-Paraná,RO
25,110013 Machadinho D'Oeste,RO
26,110120 Ministro Andreazza,RO
27,110130 Mirante da Serra,RO
28,110140 Monte Negro,RO
29,110014 Nova Brasilândia D'Oeste,RO
30,110033 Nova Mamoré,RO
31,110143 Nova União,RO
32,110050 Novo Horizonte do Oeste,RO
33,110015 Ouro Preto do Oeste,RO
34,110145 Parecis,RO
35,110018 Pimenta Bueno,RO
36,110146 Pimenteiras do Oeste,RO
37,110020 Porto Velho,RO
38,110025 Presidente Médici,RO
39,110147 Primavera de Rondônia,RO
40,110026 Rio Crespo,RO
41,110028 Rolim de Moura,RO
42,110029 Santa Luzia D'Oeste,RO
43,110148 São Felipe D'Oeste,RO
44,110149 São Francisco do Guaporé,RO
45,110032 São Miguel do Guaporé,RO
46,110150 Seringueiras,RO
47,110155 Teixeirópolis,RO
48,110160 Theobroma,RO
49,110170 Urupá,RO
50,110175 Vale do Anari,RO
51,110180 Vale do Paraíso,RO
52,110030 Vilhena,RO
53,120001 Acrelândia,AC
54,120005 Assis Brasil,AC
55,120010 Brasiléia,AC
56,120013 Bujari,AC
57,120017 Capixaba,AC
58,120020 Cruzeiro do Sul,AC
59,120025 Epitaciolândia,AC
60,120030 Feijó,AC
61,120032 Jordão,AC
62,120033 Mâncio Lima,AC
63,120034 Manoel Urbano,AC
64,120035 Marechal Thaumaturgo,AC
65,120038 Plácido de Castro,AC
66,120080 Porto Acre,AC
67,120039 Porto Walter,AC
68,120040 Rio Branco,AC
69,120042 Rodrigues Alves,AC
70,120043 Santa Rosa do Purus,AC
71,120050 Sena Madureira,AC
72,120045 Senador Guiomard,AC
73,120060 Tarauacá,AC
74,120070 Xapuri,AC
75,130002 Alvarães,AM
76,130006 Amaturá,AM
77,130008 Anamã,AM
78,130010 Anori,AM
79,130014 Apuí,AM
80,130020 Atalaia do Norte,AM
81,130030 Autazes,AM
82,130040 Barcelos,AM
83,130050 Barreirinha,AM
84,130060 Benjamin Constant,AM
85,130063 Beruri,AM
86,130068 Boa Vista do Ramos,AM
87,130070 Boca do Acre,AM
88,130080 Borba,AM
89,130083 Caapiranga,AM
90,130090 Canutama,AM
91,130100 Carauari,AM
92,130110 Careiro,AM
93,130115 Careiro da Várzea,AM
94,130120 Coari,AM
95,130130 Codajás,AM
96,130140 Eirunepé,AM
97,130150 Envira,AM
98,130160 Fonte Boa,AM
99,130165 Guajará,AM
100,130170 Humaitá,AM
101,130180 Ipixuna,AM
102,130185 Iranduba,AM
103,130190 Itacoatiara,AM
104,130195 Itamarati,AM
105,130200 Itapiranga,AM
106,130210 Japurá,AM
107,130220 Juruá,AM
108,130230 Jutaí,AM
109,130240 Lábrea,AM
110,130250 Manacapuru,AM
111,130255 Manaquiri,AM
112,130260 Manaus,AM
113,130270 Manicoré,AM
114,130280 Maraã,AM
115,130290 Maués,AM
116,130300 Nhamundá,AM
117,130310 Nova Olinda do Norte,AM
118,130320 Novo Airão,AM
119,130330 Novo Aripuanã,AM
120,130340 Parintins,AM
121,130350 Pauini,AM
122,130353 Presidente Figueiredo,AM
123,130356 Rio Preto da Eva,AM
124,130360 Santa Isabel do Rio Negro,AM
125,130370 Santo Antônio do Içá,AM
126,130380 São Gabriel da Cachoeira,AM
127,130390 São Paulo de Olivença,AM
128,130395 São Sebastião do Uatumã,AM
129,130400 Silves,AM
130,130406 Tabatinga,AM
131,130410 Tapauá,AM
132,130420 Tefé,AM
133,130423 Tonantins,AM
134,130426 Uarini,AM
135,130430 Urucará,AM
136,130440 Urucurituba,AM
137,140005 Alto Alegre,RR
138,140002 Amajari,RR
139,140010 Boa Vista,RR
140,140015 Bonfim,RR
141,140017 Cantá,RR
142,140020 Caracaraí,RR
143,140023 Caroebe,RR
144,140028 Iracema,RR
145,140030 Mucajaí,RR
146,140040 Normandia,RR
147,140045 Pacaraima,RR
148,140047 Rorainópolis,RR
149,140050 São João da Baliza,RR
150,140060 São Luiz,RR
151,140070 Uiramutã,RR
152,150010 Abaetetuba,PA
153,150013 Abel Figueiredo,PA
154,150020 Acará,PA
155,150030 Afuá,PA
156,150034 Água Azul do Norte,PA
157,150040 Alenquer,PA
158,150050 Almeirim,PA
159,150060 Altamira,PA
160,150070 Anajás,PA
161,150080 Ananindeua,PA
162,150085 Anapu,PA
163,150090 Augusto Corrêa,PA
164,150095 Aurora do Pará,PA
165,150100 Aveiro,PA
166,150110 Bagre,PA
167,150120 Baião,PA
168,150125 Bannach,PA
169,150130 Barcarena,PA
170,150140 Belém,PA
171,150145 Belterra,PA
172,150150 Benevides,PA
173,150157 Bom Jesus do Tocantins,PA
174,150160 Bonito,PA
175,150170 Bragança,PA
176,150172 Brasil Novo,PA
177,150175 Brejo Grande do Araguaia,PA
178,150178 Breu Branco,PA
179,150180 Breves,PA
180,150190 Bujaru,PA
181,150200 Cachoeira do Arari,PA
182,150195 Cachoeira do Piriá,PA
183,150210 Cametá,PA
184,150215 Canaã dos Carajás,PA
